priority,workstream,evaluation,status,required_input,planned_output,provisional_gate,notes
P0,analysis,Donor-level effect estimation,not_started,Cell-level perturbation shifts with donor IDs,results/analysis/tables/donor_gene_effects.csv,Same direction in at least 70 percent of evaluable donors,LUSC has only five held-out donors
P0,analysis,Leave-one-donor-out stability,not_started,Cell-level shifts and centroid inputs,results/analysis/tables/leave_one_donor_out_stability.csv,Top-50 retention in at least 70 percent of leave-one-donor-out runs,Rebuild centroids without evaluated donor
P0,biology,Ambient-RNA and doublet sensitivity,not_started,Expression matrix metadata and doublet scores,results/biology/tables/decontamination_rank_stability.csv,At least 60 percent top-20 overlap with stable direction,Prespecify correction and exclusion thresholds
P1,analysis,Donor-label permutation null,not_started,Donor disease labels and perturbation pipeline,results/analysis/tables/null_calibration_summary.csv,Empirical type-I error and FDR near nominal levels,Permute at donor rather than cell level
P1,analysis,Coverage-threshold sensitivity,not_started,Completed six comparison tables,results/analysis/tables/coverage_sensitivity.csv,Leading candidates stable at detection thresholds 10 25 50 and 100,Report effect and rank changes
P1,biology,T-cell subtype stratification,not_started,T-cell subtype labels donor IDs and cell shifts,results/biology/tables/tcell_subtype_effects.csv,Direction stable in adequately powered supported subtypes,Do not interpret underpowered subtype absence
P1,analysis,Centroid and checkpoint sensitivity,not_started,Training embeddings alternative centroid definitions and model outputs,results/analysis/tables/centroid_model_sensitivity.csv,High effect and rank agreement across justified specifications,Include leave-one-donor-out centroids
P1,biology,Pathway leading-edge modules,not_started,Full enrichment results and donor-level gene effects,results/biology/tables/pathway_leading_edge_modules.csv,Module direction stable across donors,Collapse redundant ontology terms
P2,analysis,Reciprocal direction analysis,not_started,Six directional comparison tables,results/analysis/tables/reciprocal_shift_summary.csv,Candidates assigned a reproducible directional class,Separate source-marker loss from goal-program gain
P2,biology,Candidate interpretation classification,not_started,All completed robustness outputs,results/biology/tables/candidate_interpretation_classes.csv,Every shortlisted candidate assigned an evidence class,Use six predefined interpretation classes
P2,biology,External cohort replication,not_started,Independent donor-balanced NSCLC T-cell cohort,results/biology/tables/external_replication_summary.csv,Direction and program replicated with donor-level support,Required before biological target claim
P3,biology,Orthogonal perturbation validation,not_started,Final T-cell-specific candidate shortlist,results/biology/tables/orthogonal_validation_summary.csv,Functional phenotype reproduced without unacceptable viability loss,Measure activation exhaustion cytokines proliferation and killing
